5	1-Amino-3-(phosphohydroxy)propan-2-one
5	205189-34-0
5	C11638
5	2-Propanone, 1-amino-3-(phosphonooxy)- (9CI)
5	CHEBI:1449
5	SCHEMBL1065797
5	DTXSID90274253
5	2-propanone, 1-amino-3-(phosphonooxy)-
5	(3-amino-2-oxopropyl) dihydrogen phosphate
5	Q27105460
6	1-chloro-2,4-dinitrobenzene
6	2,4-Dinitrochlorobenzene
6	97-00-7
6	Dinitrochlorobenzene
6	DNCB
6	Chlorodinitrobenzene
6	CDNB
6	Benzene, 1-chloro-2,4-dinitro-
6	4-Chloro-1,3-dinitrobenzene
6	2,4-Dinitrophenyl chloride
6	Dinitrochlorobenzol
6	1,3-Dinitro-4-chlorobenzene
6	2,4-Dinitro-1-chlorobenzene
6	6-Chloro-1,3-dinitrobenzene
6	1-Chloro-2,4-dinitrobenzol
6	ClDNB
6	DNPCl
6	1-Chlor-2,4-dinitrobenzene
6	1-Cloro-2,4-dinitrobenzene
6	1-Chloor-2,4-dinitrobenzeen
6	1-chloro-2,4-dinitro-benzene
6	UNII-GE3IBT7BMN
6	CHEBI:34718
6	NSC 6292
6	GE3IBT7BMN
6	NSC-6292
6	2,4-dinitro chlorobenzene
6	NSC6292
6	MFCD00007075
6	DSSTox_CID_278
6	DSSTox_RID_75481
6	DSSTox_GSID_20278
6	1-Chlor-2,4-dinitrobenzol
6	Caswell No. 389C
6	1-Chloro-2,4-dinitrobenzene, 99%
6	Dinitrochlorobenzene (VAN)
6	CAS-97-00-7
6	SMR000857169
6	CCRIS 1799
6	HSDB 5306
6	EINECS 202-551-4
6	1-Chloor-2,4-dinitrobenzeen [Dutch]
6	1-Chloro-2,4-dinitrobenzeen [Dutch]
6	1-Chloro-2,4-dinitrobenzol [German]
6	EPA Pesticide Chemical Code 055102
6	1-Cloro-2,4-dinitrobenzene [Italian]
6	1-Chloro-2,4-dinitrobenzeen
6	AI3-01053
6	2,4-dinitrochlorbenzene
6	WLN: WNR BG ENW
6	2,4-dinitro-chlorobenzene
6	chloro-2,4-dinitrobenzene
6	Epitope ID:110163
6	EC 202-551-4
6	2,4-dinitro-chloro-benzene
6	2,4dinitro-1-chlorobenzene
6	SCHEMBL39251
6	2-chloro-1,5-dinitrobenzene
6	MLS001332459
6	MLS001332460
6	ARONIS27043
6	BIDD:ER0694
6	ACMC-209s83
6	1-chloro-2,4-dinitro benzene
6	CHEMBL292687
